id;division_code;data_time;year;month;day;hour;datas;create_time;modify_time;calculate_time
4201000000002023040520;420100000000;2023-04-05 21:00:00;2023;4;5;20;"{""aqi"": 30, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 96, ""a21004"": 18, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 18, ""a34004"": 13, ""V_a05024"": 96, ""V_a21004"": 18, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 18, ""V_a34004"": 13, ""v_a05024"": 96, ""v_a21004"": 18, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 18, ""v_a34004"": 13, ""main_pollutants"": [""""]}";2023-04-06 00:02:11;2023-04-06 00:02:11;2023-04-05 20:00:00
4201000000002023040521;420100000000;2023-04-05 22:00:00;2023;4;5;21;"{""aqi"": 29, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 90, ""a21004"": 19, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 17, ""a34004"": 15, ""V_a05024"": 90, ""V_a21004"": 19, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 17, ""V_a34004"": 15, ""v_a05024"": 90, ""v_a21004"": 19, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 17, ""v_a34004"": 15, ""main_pollutants"": [""""]}";2023-04-06 01:02:06;2023-04-06 01:02:06;2023-04-05 21:00:00
4201000000002023040522;420100000000;2023-04-05 23:00:00;2023;4;5;22;"{""aqi"": 29, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 91, ""a21004"": 18, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 18, ""a34004"": 14, ""V_a05024"": 91, ""V_a21004"": 18, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 18, ""V_a34004"": 14, ""v_a05024"": 91, ""v_a21004"": 18, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 18, ""v_a34004"": 14, ""main_pollutants"": [""""]}";2023-04-06 02:02:07;2023-04-06 02:02:07;2023-04-05 22:00:00
4201000000002023040523;420100000000;2023-04-06 00:00:00;2023;4;5;23;"{""aqi"": 29, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 92, ""a21004"": 16, ""a21005"": 0.5, ""a21026"": 6, ""a34002"": 18, ""a34004"": 12, ""V_a05024"": 92, ""V_a21004"": 16, ""V_a21005"": 0.5, ""V_a21026"": 6, ""V_a34002"": 18, ""V_a34004"": 12, ""v_a05024"": 92, ""v_a21004"": 16, ""v_a21005"": 0.5, ""v_a21026"": 6, ""v_a34002"": 18, ""v_a34004"": 12, ""main_pollutants"": [""""]}";2023-04-06 03:02:10;2023-04-06 03:02:10;2023-04-05 23:00:00
4201000000002023040600;420100000000;2023-04-06 01:00:00;2023;4;6;"0";"{""aqi"": 29, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 92, ""a21004"": 15, ""a21005"": 0.5, ""a21026"": 6, ""a34002"": 18, ""a34004"": 14, ""V_a05024"": 92, ""V_a21004"": 15, ""V_a21005"": 0.5, ""V_a21026"": 6, ""V_a34002"": 18, ""V_a34004"": 14, ""v_a05024"": 92, ""v_a21004"": 15, ""v_a21005"": 0.5, ""v_a21026"": 6, ""v_a34002"": 18, ""v_a34004"": 14, ""main_pollutants"": [""""]}";2023-04-06 04:02:11;2023-04-06 04:02:11;2023-04-06 00:00:00
4201000000002023040601;420100000000;2023-04-06 02:00:00;2023;4;6;1;"{""aqi"": 29, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 92, ""a21004"": 14, ""a21005"": 0.5, ""a21026"": 6, ""a34002"": 17, ""a34004"": 16, ""V_a05024"": 92, ""V_a21004"": 14, ""V_a21005"": 0.5, ""V_a21026"": 6, ""V_a34002"": 17, ""V_a34004"": 16, ""v_a05024"": 92, ""v_a21004"": 14, ""v_a21005"": 0.5, ""v_a21026"": 6, ""v_a34002"": 17, ""v_a34004"": 16, ""main_pollutants"": [""""]}";2023-04-06 05:02:02;2023-04-06 05:02:02;2023-04-06 01:00:00
4201000000002023040602;420100000000;2023-04-06 03:00:00;2023;4;6;2;"{""aqi"": 29, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 91, ""a21004"": 14, ""a21005"": 0.5, ""a21026"": 6, ""a34002"": 19, ""a34004"": 15, ""V_a05024"": 91, ""V_a21004"": 14, ""V_a21005"": 0.5, ""V_a21026"": 6, ""V_a34002"": 19, ""V_a34004"": 15, ""v_a05024"": 91, ""v_a21004"": 14, ""v_a21005"": 0.5, ""v_a21026"": 6, ""v_a34002"": 19, ""v_a34004"": 15, ""main_pollutants"": [""""]}";2023-04-06 06:02:01;2023-04-06 06:02:01;2023-04-06 02:00:00
4201000000002023040603;420100000000;2023-04-06 04:00:00;2023;4;6;3;"{""aqi"": 28, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 88, ""a21004"": 15, ""a21005"": 0.5, ""a21026"": 6, ""a34002"": 18, ""a34004"": 15, ""V_a05024"": 88, ""V_a21004"": 15, ""V_a21005"": 0.5, ""V_a21026"": 6, ""V_a34002"": 18, ""V_a34004"": 15, ""v_a05024"": 88, ""v_a21004"": 15, ""v_a21005"": 0.5, ""v_a21026"": 6, ""v_a34002"": 18, ""v_a34004"": 15, ""main_pollutants"": [""""]}";2023-04-06 07:01:56;2023-04-06 07:01:56;2023-04-06 03:00:00
4201000000002023040604;420100000000;2023-04-06 05:00:00;2023;4;6;4;"{""aqi"": 26, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 83, ""a21004"": 16, ""a21005"": 0.5, ""a21026"": 6, ""a34002"": 18, ""a34004"": 16, ""V_a05024"": 83, ""V_a21004"": 16, ""V_a21005"": 0.5, ""V_a21026"": 6, ""V_a34002"": 18, ""V_a34004"": 16, ""v_a05024"": 83, ""v_a21004"": 16, ""v_a21005"": 0.5, ""v_a21026"": 6, ""v_a34002"": 18, ""v_a34004"": 16, ""main_pollutants"": [""""]}";2023-04-06 08:02:03;2023-04-06 08:02:03;2023-04-06 04:00:00
4201000000002023040605;420100000000;2023-04-06 06:00:00;2023;4;6;5;"{""aqi"": 28, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 77, ""a21004"": 21, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 20, ""a34004"": 19, ""V_a05024"": 77, ""V_a21004"": 21, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 20, ""V_a34004"": 19, ""v_a05024"": 77, ""v_a21004"": 21, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 20, ""v_a34004"": 19, ""main_pollutants"": [""""]}";2023-04-06 09:02:07;2023-04-06 09:02:07;2023-04-06 05:00:00
4201000000002023040606;420100000000;2023-04-06 07:00:00;2023;4;6;6;"{""aqi"": 30, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 67, ""a21004"": 28, ""a21005"": 0.6, ""a21026"": 6, ""a34002"": 23, ""a34004"": 21, ""V_a05024"": 67, ""V_a21004"": 28, ""V_a21005"": 0.6, ""V_a21026"": 6, ""V_a34002"": 23, ""V_a34004"": 21, ""v_a05024"": 67, ""v_a21004"": 28, ""v_a21005"": 0.6, ""v_a21026"": 6, ""v_a34002"": 23, ""v_a34004"": 21, ""main_pollutants"": [""""]}";2023-04-06 10:03:25;2023-04-06 10:03:25;2023-04-06 06:00:00
4201000000002023040607;420100000000;2023-04-06 08:00:00;2023;4;6;7;"{""aqi"": 32, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 66, ""a21004"": 31, ""a21005"": 0.7, ""a21026"": 6, ""a34002"": 25, ""a34004"": 22, ""V_a05024"": 66, ""V_a21004"": 31, ""V_a21005"": 0.7, ""V_a21026"": 6, ""V_a34002"": 25, ""V_a34004"": 22, ""v_a05024"": 66, ""v_a21004"": 31, ""v_a21005"": 0.7, ""v_a21026"": 6, ""v_a34002"": 25, ""v_a34004"": 22, ""main_pollutants"": [""""]}";2023-04-06 11:02:07;2023-04-06 11:02:07;2023-04-06 07:00:00
4201000000002023040608;420100000000;2023-04-06 09:00:00;2023;4;6;8;"{""aqi"": 30, ""tag"": ""crawler"", ""level"": 1, ""a05024"": 71, ""a21004"": 32, ""a21005"": 0.7, ""a21026"": 6, ""a34002"": 25, ""a34004"": 21, ""V_a05024"": 71, ""V_a21004"": 32, ""V_a21005"": 0.7, ""V_a21026"": 6, ""V_a34002"": 25, ""V_a34004"": 21, ""v_a05024"": 71, ""v_a21004"": 32, ""v_a21005"": 0.7, ""v_a21026"": 6, ""v_a34002"": 25, ""v_a34004"": 21, ""main_pollutants"": [""""]}";2023-04-06 11:25:37;2023-04-06 11:25:37;2023-04-06 08:00:00
